Date,Close,Volume
02-05-2016,54.4044,8616189
03-05-2016,53.5382,7854260
04-05-2016,53.6715,6508507
05-05-2016,53.5382,6215367
06-05-2016,53.5954,6378690
09-05-2016,53.9094,5976229
10-05-2016,54.7185,7931185
11-05-2016,53.5192,8118920
12-05-2016,53.5858,6870281
13-05-2016,53.129,5466041
16-05-2016,52.853,9536192
17-05-2016,52.2343,10530018
18-05-2016,52.1581,7468496
19-05-2016,51.9202,7582848
20-05-2016,51.9868,8430783
23-05-2016,51.9678,7352054
24-05-2016,52.7673,7748697
25-05-2016,52.4913,8126058
26-05-2016,52.6245,9451708
27-05-2016,52.4913,6631120
31-05-2016,52.2438,12043976
01-06-2016,52.1772,8761577
02-06-2016,51.9868,8307488
03-06-2016,51.9773,6649224
06-06-2016,52.9101,9900917
07-06-2016,52.634,7173072
08-06-2016,52.5579,7623851
09-06-2016,52.9005,5927854
10-06-2016,52.22,8118651
13-06-2016,52.3866,7928722
14-06-2016,52.891,8036517
15-06-2016,52.6816,7447317
16-06-2016,52.853,7968033
17-06-2016,52.6436,9503017
20-06-2016,52.7102,7286681
21-06-2016,53.1195,7445109
22-06-2016,52.9291,7215411
23-06-2016,53.424,5569431
24-06-2016,52.0439,14654672
27-06-2016,51.1017,11650798
28-06-2016,52.2057,8416950
29-06-2016,54.0046,11103787
30-06-2016,54.3663,10215193
01-07-2016,54.2426,8330308
05-07-2016,54.0332,7274208
06-07-2016,54.0141,8474188
07-07-2016,54.1664,6813347
08-07-2016,53.7857,12655500
11-07-2016,53.6049,10394366
12-07-2016,54.7089,10998486
13-07-2016,53.7572,12183638
14-07-2016,54.8136,11353599
15-07-2016,54.6423,8494000
18-07-2016,54.1759,7614635
19-07-2016,54.0237,8719772
20-07-2016,54.7661,9446396
21-07-2016,54.8232,16151699
22-07-2016,55.1087,23899275
25-07-2016,55.1563,10486019
26-07-2016,55.4989,10106663
27-07-2016,55.0611,6551777
28-07-2016,55.4038,6830059
29-07-2016,55.2515,6914907
01-08-2016,54.8517,7997576
02-08-2016,54.1831,7574622
03-08-2016,53.4286,11484792
04-08-2016,52.9319,11193748
05-08-2016,53.3904,9206197
08-08-2016,52.8746,9129307
09-08-2016,52.7218,7136683
10-08-2016,53.123,6991077
11-08-2016,52.9797,6191412
12-08-2016,52.9797,5039757
15-08-2016,52.7696,5968728
16-08-2016,52.8842,5751178
17-08-2016,53.2949,7410631
18-08-2016,53.037,5390990
19-08-2016,52.4735,8981214
22-08-2016,53.3426,8837808
23-08-2016,53.8679,7827873
24-08-2016,54.527,13200460
25-08-2016,54.718,6686589
26-08-2016,54.718,6940511
29-08-2016,54.25,7026700
30-08-2016,53.8679,6377668
31-08-2016,53.7056,6996894
01-09-2016,53.782,6230148
02-09-2016,53.6578,7441463
06-09-2016,53.505,6472907
07-09-2016,53.7915,11428644
08-09-2016,52.8173,12673626
09-09-2016,51.91,10658120
12-09-2016,52.2538,11002544
13-09-2016,51.5566,10050215
14-09-2016,51.4802,6707850
15-09-2016,51.6807,8080426
16-09-2016,51.3274,10207750
19-09-2016,50.6301,9231628
20-09-2016,50.9071,8731499
21-09-2016,51.5566,9213637
22-09-2016,51.9482,9096709
23-09-2016,51.9864,6945147
26-09-2016,51.6139,7755629
27-09-2016,51.7572,6463747
28-09-2016,51.5566,8593496
29-09-2016,51.0504,11993517
30-09-2016,51.7094,13767754
03-10-2016,51.4229,5479037
04-10-2016,51.1268,6176358
05-10-2016,50.9549,7451916
06-10-2016,50.7543,6130270
07-10-2016,51.0599,7279723
10-10-2016,50.9071,7224335
11-10-2016,50.5442,9720407
12-10-2016,50.7734,6320462
13-10-2016,50.5728,6958128
